company_name(s),dead_url,error_or_status,confidence_dead,working_alternate,alternate_type
Carrickmacross Parents & Tots,https://www.facebook.com/ParentsTotsCBC/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Castleisland Parent and Toddler Group in Kerry,https://www.facebook.com/castleislandparentandtoddlergroup/about,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Dad and Baby Massage with Melanie Murphy Infant Massage,https://www.facebook.com/profile.php?id=100086975242986&sk=about,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Enfield Parent & Toddler Group,https://www.facebook.com/groups/306898116445743/discussion/preview,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
FREE Parent and Toddler Groups (Dundalk and Drogheda),https://www.facebook.com/LouthABCProgramme/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Kellystown Riding School,http://www.kellystownridingschool.com/,HTTP Error 403: Forbidden,"LOW - site blocking automated checks, may be fine in a real browser",,
Kentstown Parent & Toddler Group,https://www.facebook.com/p/Kentstown-Toddler-and-Baby-Group-100067292811547/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
"Killybegs Parent, Baby and Toddler Group",https://www.facebook.com/profile/100064632253690/search/?q=toddler,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Music 4 Tots,https://www.facebook.com/musicmovement4tots/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Nurture and Play,https://www.facebook.com/profile.php?id=61565478435216,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
"Oughterard / Clann / Corrib Parent, Baby & Toddler Group",http://clannrescentre.com/activities/children-activities/corrib-baby-and-toddler/,HTTP Error 400: Bad Request,"LOW - site blocking automated checks, may be fine in a real browser",,
Phibsboro Toddler Storytime Group - Phibsboro Library,https://www.dublincity.ie/events/toddler-storytime-phibsboro-library,HTTP Error 403: Forbidden,"LOW - site blocking automated checks, may be fine in a real browser",https://dublincity.ie/events/toddler-storytime-phibsboro-library,same domain (safe)
Sense of Wonder Sensory Play,https://www.facebook.com/profile.php?id=61564788114218,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Study Skills course (online),https://Emeraldeducationcentrebundoran.com.com,HTTP Error 403: Forbidden,"LOW - site blocking automated checks, may be fine in a real browser",,
Summerhill Baby and Toddler Group,https://www.facebook.com/summerhillbabyandtoddlergroup/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Suzuki Violin and Fiddle Classes with Caitriona,https://www.facebook.com/suzukiviolinennis,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Toddler Group Tallaght,https://facebook.com/killinardenFRC,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Tummy Time for babies,https://www.facebook.com/profile.php?id=61550026827173,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Universal Rhythmic Gymnastics Club -Salthill,https://www.facebook.com/profile.php?id=61566883178839,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
Watergrasshill Playgroup,https://www.facebook.com/share/577zzhoQSn4Hu6GA/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
National Gallery of Ireland,https://National%20Concert%20Hall,URL can't contain control characters. 'National Concert Hall' (found at least ' '),UNKNOWN,,
